SP1_Transport	Problem type: adjoint
cell    node    group   phi     
140     1       0       0.130359
141     0       0       0.130359
141     1       0       0.130377
142     0       0       0.130377
142     1       0       0.130393
143     0       0       0.130393
143     1       0       0.130407
144     0       0       0.130407
144     1       0       0.130418
145     0       0       0.130418
145     1       0       0.130428
146     0       0       0.130428
146     1       0       0.130435
147     0       0       0.130435
147     1       0       0.130441
148     0       0       0.130441
148     1       0       0.130444
149     0       0       0.130444
149     1       0       0.130445
150     0       0       0.130445
150     1       0       0.130444
151     0       0       0.130444
151     1       0       0.130441
152     0       0       0.130441
152     1       0       0.130435
153     0       0       0.130435
153     1       0       0.130428
154     0       0       0.130428
154     1       0       0.130418
155     0       0       0.130418
155     1       0       0.130407
156     0       0       0.130407
156     1       0       0.130393
157     0       0       0.130393
157     1       0       0.130377
158     0       0       0.130377
158     1       0       0.130359
159     0       0       0.130359
159     1       0       0.130338
160     0       0       0.130338
160     1       0       0.130316
161     0       0       0.130316
161     1       0       0.130291
162     0       0       0.130291
162     1       0       0.130264
163     0       0       0.130264
163     1       0       0.130235
164     0       0       0.130235
164     1       0       0.130203
165     0       0       0.130203
165     1       0       0.130169
166     0       0       0.130169
166     1       0       0.130133
167     0       0       0.130133
167     1       0       0.130094
168     0       0       0.130094
168     1       0       0.130053
169     0       0       0.130053
169     1       0       0.130009
170     0       0       0.130009
170     1       0       0.129963
171     0       0       0.129963
171     1       0       0.129914
172     0       0       0.129914
172     1       0       0.129863
173     0       0       0.129863
173     1       0       0.129809
174     0       0       0.129809
174     1       0       0.129752
175     0       0       0.129752
175     1       0       0.129693
176     0       0       0.129693
176     1       0       0.129631
177     0       0       0.129631
177     1       0       0.129566
178     0       0       0.129566
178     1       0       0.129498
179     0       0       0.129498
179     1       0       0.129427
180     0       0       0.129427
180     1       0       0.129353
181     0       0       0.129353
181     1       0       0.129276
182     0       0       0.129276
182     1       0       0.129196
183     0       0       0.129196
183     1       0       0.129112
184     0       0       0.129112
184     1       0       0.129025
185     0       0       0.129025
185     1       0       0.128935
186     0       0       0.128935
186     1       0       0.128841
187     0       0       0.128841
187     1       0       0.128744
188     0       0       0.128744
188     1       0       0.128643
189     0       0       0.128643
189     1       0       0.128538
190     0       0       0.128538
190     1       0       0.12843 
191     0       0       0.12843 
191     1       0       0.128318
192     0       0       0.128318
192     1       0       0.128201
193     0       0       0.128201
193     1       0       0.12808 
194     0       0       0.12808 
194     1       0       0.127955
195     0       0       0.127955
195     1       0       0.127826
196     0       0       0.127826
196     1       0       0.127692
197     0       0       0.127692
197     1       0       0.127554
198     0       0       0.127554
198     1       0       0.127411
199     0       0       0.127411
199     1       0       0.127263
200     0       0       0.127263
200     1       0       0.12711 
201     0       0       0.12711 
201     1       0       0.126952
202     0       0       0.126952
202     1       0       0.126789
203     0       0       0.126789
203     1       0       0.126621
204     0       0       0.126621
204     1       0       0.126446
205     0       0       0.126446
205     1       0       0.126267
206     0       0       0.126267
206     1       0       0.126081
207     0       0       0.126081
207     1       0       0.125889
208     0       0       0.125889
208     1       0       0.125691
209     0       0       0.125691
209     1       0       0.125487
210     0       0       0.125487
210     1       0       0.125276
211     0       0       0.125276
211     1       0       0.125059
212     0       0       0.125059
212     1       0       0.124835
213     0       0       0.124835
213     1       0       0.124603
214     0       0       0.124603
214     1       0       0.124365
215     0       0       0.124365
215     1       0       0.124118
216     0       0       0.124118
216     1       0       0.123865
217     0       0       0.123865
217     1       0       0.123603
218     0       0       0.123603
218     1       0       0.123333
219     0       0       0.123333
219     1       0       0.123055
220     0       0       0.123055
220     1       0       0.122768
221     0       0       0.122768
221     1       0       0.122472
222     0       0       0.122472
222     1       0       0.122168
223     0       0       0.122168
223     1       0       0.121854
224     0       0       0.121854
224     1       0       0.12153 
225     0       0       0.12153 
225     1       0       0.121196
226     0       0       0.121196
226     1       0       0.120853
227     0       0       0.120853
227     1       0       0.120499
228     0       0       0.120499
228     1       0       0.120134
229     0       0       0.120134
229     1       0       0.119759
230     0       0       0.119759
230     1       0       0.119372
231     0       0       0.119372
231     1       0       0.118973
232     0       0       0.118973
232     1       0       0.118563
233     0       0       0.118563
233     1       0       0.11814 
234     0       0       0.11814 
234     1       0       0.117705
235     0       0       0.117705
235     1       0       0.117257
236     0       0       0.117257
236     1       0       0.116796
237     0       0       0.116796
237     1       0       0.116321
238     0       0       0.116321
238     1       0       0.115832
239     0       0       0.115832
239     1       0       0.115329
240     0       0       0.115329
240     1       0       0.114811
241     0       0       0.114811
241     1       0       0.114278
242     0       0       0.114278
242     1       0       0.11373 
243     0       0       0.11373 
243     1       0       0.113165
244     0       0       0.113165
244     1       0       0.112585
245     0       0       0.112585
245     1       0       0.111988
246     0       0       0.111988
246     1       0       0.111373
247     0       0       0.111373
247     1       0       0.110741
248     0       0       0.110741
248     1       0       0.110091
249     0       0       0.110091
249     1       0       0.109423
