SP1_Transport	Problem type: adjoint
cell    node    group   phi     
146     1       0       0.000765594
147     0       0       0.000765594
147     1       0       0.000885013
148     0       0       0.000885013
148     1       0       0.0010228
149     0       0       0.0010228
149     1       0       0.00118171
150     0       0       0.00118171
150     1       0       0.00136495
151     0       0       0.00136495
151     1       0       0.00157614
152     0       0       0.00157614
152     1       0       0.00181947
153     0       0       0.00181947
153     1       0       0.00209973
154     0       0       0.00209973
154     1       0       0.00242239
155     0       0       0.00242239
155     1       0       0.00279372
156     0       0       0.00279372
156     1       0       0.00322087
157     0       0       0.00322087
157     1       0       0.00371202
158     0       0       0.00371202
158     1       0       0.00427649
159     0       0       0.00427649
159     1       0       0.00492492
160     0       0       0.00492492
160     1       0       0.00566941
161     0       0       0.00566941
161     1       0       0.00652376
162     0       0       0.00652376
162     1       0       0.00750362
163     0       0       0.00750362
163     1       0       0.00862678
164     0       0       0.00862678
164     1       0       0.0099134
165     0       0       0.0099134
165     1       0       0.0113863
166     0       0       0.0113863
166     1       0       0.0130714
167     0       0       0.0130714
167     1       0       0.0149979
168     0       0       0.0149979
168     1       0       0.0171986
169     0       0       0.0171986
169     1       0       0.0197106
170     0       0       0.0197106
170     1       0       0.0225755
171     0       0       0.0225755
171     1       0       0.0258399
172     0       0       0.0258399
172     1       0       0.0295562
173     0       0       0.0295562
173     1       0       0.0337825
174     0       0       0.0337825
174     1       0       0.0385836
175     0       0       0.0385836
175     1       0       0.0440315
176     0       0       0.0440315
176     1       0       0.0502057
177     0       0       0.0502057
177     1       0       0.0571937
178     0       0       0.0571937
178     1       0       0.0650914
179     0       0       0.0650914
179     1       0       0.0740036
180     0       0       0.0740036
180     1       0       0.0840438
181     0       0       0.0840438
181     1       0       0.0953342
182     0       0       0.0953342
182     1       0       0.108005
183     0       0       0.108005
183     1       0       0.122195
184     0       0       0.122195
184     1       0       0.138048
185     0       0       0.138048
185     1       0       0.155712
186     0       0       0.155712
186     1       0       0.175335
187     0       0       0.175335
187     1       0       0.197065
188     0       0       0.197065
188     1       0       0.221039
189     0       0       0.221039
189     1       0       0.247377
190     0       0       0.247377
190     1       0       0.276175
191     0       0       0.276175
191     1       0       0.307489
192     0       0       0.307489
192     1       0       0.341319
193     0       0       0.341319
193     1       0       0.37759 
194     0       0       0.37759 
194     1       0       0.416124
195     0       0       0.416124
195     1       0       0.456604
196     0       0       0.456604
196     1       0       0.498536
197     0       0       0.498536
197     1       0       0.541193
198     0       0       0.541193
198     1       0       0.583551
199     0       0       0.583551
199     1       0       0.624206
200     0       0       0.624206
200     1       0       0.627481
201     0       0       0.627481
201     1       0       0.630872
202     0       0       0.630872
202     1       0       0.634361
203     0       0       0.634361
203     1       0       0.63793 
204     0       0       0.63793 
204     1       0       0.641564
205     0       0       0.641564
205     1       0       0.645249
206     0       0       0.645249
206     1       0       0.648973
207     0       0       0.648973
207     1       0       0.652722
208     0       0       0.652722
208     1       0       0.656486
209     0       0       0.656486
209     1       0       0.660256
210     0       0       0.660256
210     1       0       0.664023
211     0       0       0.664023
211     1       0       0.667777
212     0       0       0.667777
212     1       0       0.671513
213     0       0       0.671513
213     1       0       0.675224
214     0       0       0.675224
214     1       0       0.678902
215     0       0       0.678902
215     1       0       0.682545
216     0       0       0.682545
216     1       0       0.686145
217     0       0       0.686145
217     1       0       0.6897  
218     0       0       0.6897  
218     1       0       0.693206
219     0       0       0.693206
219     1       0       0.696659
220     0       0       0.696659
220     1       0       0.700057
221     0       0       0.700057
221     1       0       0.703396
222     0       0       0.703396
222     1       0       0.706676
223     0       0       0.706676
223     1       0       0.709894
224     0       0       0.709894
224     1       0       0.713049
225     0       0       0.713049
225     1       0       0.716139
226     0       0       0.716139
226     1       0       0.719163
227     0       0       0.719163
227     1       0       0.722122
228     0       0       0.722122
228     1       0       0.725014
229     0       0       0.725014
229     1       0       0.727839
230     0       0       0.727839
230     1       0       0.730597
231     0       0       0.730597
231     1       0       0.733287
232     0       0       0.733287
232     1       0       0.735911
233     0       0       0.735911
233     1       0       0.738468
234     0       0       0.738468
234     1       0       0.740959
235     0       0       0.740959
235     1       0       0.743384
236     0       0       0.743384
236     1       0       0.745743
237     0       0       0.745743
237     1       0       0.748038
