Monte Carlo	Total particles: 10087365	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 1	Runtime: 1025.28
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
23              0               0.108928        0.227494        0.228759        0.2278          0.166307        4.33525         1.45218         8.0991          0.00012896      0.000658427     0.000381074     0.00089995      0.0011839       0.00289426      0.00166583      0.00395061      695.865         116.434         351.473         62.4924         
24              0               0.110262        0.230112        0.231491        0.230596        0.168198        2.3471          1.45143         8.17759         0.000129691     0.000484468     0.000380976     0.0009043       0.00117621      0.00210536      0.00164575      0.00392157      704.997         220.042         360.105         63.4212         
25              0               0.111652        0.232445        0.234261        0.233079        0.170072        2.52861         1.47311         8.23554         0.000130412     0.000502853     0.000383811     0.000907499     0.00116802      0.00216332      0.00163839      0.00389353      714.913         208.407         363.345         64.338          
26              0               0.112965        0.234764        0.236619        0.237426        0.171835        2.32521         1.47557         8.32688         0.000131086     0.000482205     0.000384132     0.000912517     0.00116041      0.002054        0.00162342      0.00384338      724.322         231.183         370.08          66.0282         
27              0               0.114215        0.237672        0.238828        0.239844        0.17355         2.18898         1.48525         8.36396         0.000131739     0.000467865     0.00038539      0.000914547     0.00115343      0.00196853      0.00161367      0.00381308      733.12          251.693         374.563         67.0815         
28              0               0.115416        0.240693        0.241297        0.241275        0.175093        9.29359         1.48414         8.39691         0.000132323     0.000964033     0.000385245     0.000916347     0.00114648      0.00400523      0.00159656      0.00379793      742.028         60.7995         382.635         67.6179         
29              0               0.116565        0.242637        0.243671        0.243513        0.17659         2.27812         1.50934         8.40648         0.000132887     0.000477296     0.000388502     0.000916869     0.00114003      0.00196712      0.00159437      0.00376517      750.453         252.055         383.688         68.7996         
30              0               0.117692        0.24427         0.245893        0.245624        0.177932        2.05086         1.52655         8.47274         0.000133391     0.000452865     0.000390711     0.000920475     0.00113339      0.00185395      0.00158895      0.0037475       759.274         283.766         386.309         69.45           
31              0               0.118841        0.246865        0.247705        0.248062        0.179469        2.35779         1.52093         8.53124         0.000133966     0.000485571     0.000389991     0.000923647     0.00112727      0.00196695      0.00157442      0.00372345      767.54          252.098         393.473         70.3501         
32              0               0.119878        0.248099        0.249605        0.24946         0.180651        2.21063         1.52811         8.56862         0.000134407     0.000470174     0.000390911     0.000925669     0.00112119      0.00189511      0.00156612      0.00371069      775.882         271.574         397.654         70.8347         
33              0               0.120881        0.250543        0.251278        0.25333         0.181917        3.12899         1.52817         8.6709          0.000134877     0.000559374     0.000390918     0.000931177     0.00111578      0.00223265      0.00155572      0.00367575      783.433         195.666         402.987         72.1877         
34              0               0.121904        0.252477        0.252844        0.25266         0.183066        2.71423         1.52208         8.62202         0.000135302     0.000520983     0.000390138     0.000928548     0.0011099       0.00206348      0.001543        0.00367509      791.743         229.063         409.659         72.2136         
35              0               0.122857        0.253772        0.25474         0.254666        0.184162        2.65566         1.54463         8.63745         0.000135706     0.000515331     0.000393017     0.000929379     0.00110459      0.00203069      0.00154282      0.00364941      799.379         236.521         409.758         73.2337         
36              0               0.123755        0.256762        0.256526        0.255267        0.185211        9.9975          1.56949         8.63756         0.000136092     0.000999875     0.000396168     0.000929385     0.00109969      0.00389417      0.00154436      0.00364084      806.522         64.3171         408.94          73.5787         
37              0               0.124654        0.258083        0.257694        0.257467        0.186262        4.79559         1.52541         8.6981          0.000136478     0.000692502     0.000390565     0.000932636     0.00109486      0.00268325      0.00151562      0.00362235      813.656         135.467         424.595         74.3316         
38              0               0.125594        0.259132        0.259444        0.259091        0.187319        3.16152         1.54598         8.71472         0.000136865     0.000562274     0.000393189     0.000933527     0.00108974      0.00216984      0.00151551      0.00360308      821.318         207.158         424.657         75.1291         
39              0               0.126459        0.260133        0.260786        0.259981        0.188252        2.58529         1.5399          8.74887         0.000137205     0.000508458     0.000392415     0.000935354     0.00108498      0.00195461      0.00150474      0.00359777      828.544         255.291         430.759         75.3508         
40              0               0.127307        0.261336        0.26278         0.261917        0.18924         2.28674         1.58629         8.77074         0.000137564     0.000478199     0.000398282     0.000936522     0.00108057      0.00182982      0.00151565      0.00357564      835.306         291.298         424.578         76.2864         
41              0               0.128146        0.263601        0.264296        0.263592        0.190282        2.44293         1.58743         8.80309         0.000137943     0.00049426      0.000398426     0.000938248     0.00107645      0.00187503      0.0015075       0.00355947      841.722         277.42          429.181         76.9812         
42              0               0.128963        0.264203        0.264967        0.265137        0.191215        2.01489         1.54505         8.84766         0.00013828      0.000448875     0.000393071     0.00094062      0.00107225      0.00169898      0.00148347      0.00354767      848.334         337.893         443.196         77.494          
43              0               0.129706        0.265212        0.266772        0.267272        0.191869        2.22912         1.56488         8.90032         0.000138517     0.000472136     0.000395586     0.000943415     0.00106793      0.00178022      0.00148286      0.00352979      855.204         307.756         443.563         78.2812         
44              0               0.13048         0.267624        0.268365        0.268492        0.192761        2.65109         1.58913         8.92809         0.000138838     0.000514887     0.000398639     0.000944886     0.00106406      0.00192392      0.00148543      0.00351923      861.433         263.502         442.027         78.7519         
45              0               0.13121         0.268786        0.26973         0.271067        0.193449        2.3487          1.58402         8.971           0.000139086     0.000484634     0.000397998     0.000947154     0.00106002      0.00180305      0.00147554      0.00349417      868.012         300.014         447.974         79.8856         
46              0               0.131864        0.270307        0.270489        0.270535        0.194012        3.96406         1.56525         8.94597         0.000139288     0.000629608     0.000395632     0.000945832     0.0010563       0.00232924      0.00146266      0.00349616      874.144         179.775         455.901         79.7946         
47              0               0.132503        0.270866        0.271807        0.271919        0.194456        2.54326         1.59161         8.96766         0.000139447     0.000504307     0.00039895      0.000946978     0.00105241      0.00186183      0.00146777      0.00348258      880.621         281.367         452.729         80.4182         
48              0               0.133127        0.276544        0.272738        0.272153        0.195007        199.58          1.58501         8.98395         0.000139645     0.00446744      0.000398122     0.000947837     0.00104896      0.0161546       0.00145973      0.00348274      886.416         3.73736         457.734         80.4108         
49              0               0.133787        0.272939        0.274093        0.27594         0.195768        2.22695         1.59843         9.09831         0.000139917     0.000471906     0.000399804     0.000953851     0.00104582      0.00172898      0.00145864      0.00345673      891.746         326.269         458.414         81.6251         
50              0               0.134428        0.274499        0.275179        0.274606        0.196359        2.78688         1.59056         9.04676         0.000140128     0.000527909     0.000398818     0.000951145     0.0010424       0.00192317      0.00144931      0.00346367      897.604         263.706         464.339         81.2985         
51              0               0.135135        0.275921        0.276199        0.276637        0.197129        2.64993         1.59005         9.08567         0.000140403     0.000514775     0.000398755     0.000953188     0.00103898      0.00186566      0.00144373      0.00344563      903.523         280.214         467.936         82.1521         
52              0               0.135741        0.276751        0.277291        0.276732        0.197767        3.11609         1.60688         9.11002         0.00014063      0.00055822      0.000400859     0.000954464     0.00103601      0.00201705      0.00144563      0.00344906      908.707         239.731         466.706         81.9888         
53              0               0.136335        0.277773        0.278582        0.279031        0.198395        2.6963          1.61227         9.14027         0.000140853     0.000519259     0.00040153      0.000956048     0.00103313      0.00186936      0.00144134      0.00342631      913.781         279.106         469.488         83.0809         
54              0               0.136902        0.278813        0.279619        0.279602        0.198876        2.77937         1.62375         9.17817         0.000141023     0.000527197     0.000402957     0.000958028     0.00103011      0.00189086      0.00144109      0.00342639      919.159         272.795         469.647         83.077          
55              0               0.137457        0.279794        0.280624        0.279753        0.199532        2.56509         1.62775         9.16974         0.000141256     0.000506468     0.000403454     0.000957588     0.00102764      0.00181014      0.0014377       0.00342298      923.584         297.667         471.864         83.243          
56              0               0.137942        0.280727        0.280916        0.281164        0.199978        2.52461         1.58288         9.20036         0.000141414     0.000502455     0.000397854     0.000959185     0.00102517      0.00178983      0.00141628      0.00341148      928.037         304.46          486.249         83.8048         
57              0               0.138463        0.28224         0.282208        0.282153        0.200525        6.16284         1.61371         9.21838         0.000141607     0.000785038     0.000401709     0.000960124     0.0010227       0.00278145      0.00142345      0.00340285      932.52          126.07          481.361         84.2306         
58              0               0.138935        0.282589        0.283182        0.283749        0.20087         2.39428         1.62486         9.2547          0.000141729     0.000489313     0.000403095     0.000962013     0.00102011      0.00173154      0.00142345      0.00339037      937.263         325.305         481.362         84.8521         
59              0               0.139443        0.283372        0.28394         0.281612        0.201386        2.76305         1.62408         9.16727         0.000141911     0.000525647     0.000402999     0.000957459     0.0010177       0.00185497      0.00141931      0.00339993      941.716         283.453         484.175         84.3756         
60              0               0.13988         0.284352        0.285048        0.285319        0.201718        2.91595         1.62711         9.31357         0.000142027     0.000539995     0.000403374     0.000965068     0.00101535      0.00189904      0.00141511      0.00338242      946.073         270.451         487.053         85.2515         
61              0               0.140383        0.284682        0.286167        0.286073        0.202348        2.1325          1.6492          9.31641         0.000142249     0.00046179      0.000406103     0.000965216     0.0010133       0.00162212      0.00141911      0.00337402      949.91          370.67          484.308         85.6761         
