Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 0	Runtime: 1602.43
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
23              0               7.73346         17.9878         17.9774         18.0314         64.5055         941.667         762.265         18532.3         0.00253979      0.00970396      0.00873078      0.0430491       0.000328416     0.000539474     0.000485653     0.00238745      5785.92         2144.28         2645.88         109.484         
24              0               7.73017         17.9739         17.9673         17.9747         64.1836         1376.35         758.808         18508           0.00253345      0.0117318       0.00871096      0.0430209       0.000327735     0.000652711     0.000484822     0.00239342      5809.99         1464.81         2654.95         108.939         
25              0               7.72683         17.9631         17.9628         17.9112         63.8635         997.999         757.904         18444.2         0.00252712      0.00998999      0.00870577      0.0429467       0.000327058     0.00055614      0.000484655     0.00239776      5834.06         2017.69         2656.78         108.545         
26              0               7.72356         17.95           17.9562         17.9388         63.5511         886.344         768.173         18462.4         0.00252093      0.00941458      0.00876455      0.0429679       0.000326395     0.000524488     0.000488107     0.00239525      5857.78         2268.56         2619.33         108.773         
27              0               7.7201          17.9502         17.949          17.96           63.239          1459.69         756.015         18474           0.00251474      0.0120818       0.00869491      0.0429814       0.000325739     0.000673073     0.000484423     0.00239318      5881.41         1377.52         2659.33         108.961         
28              0               7.71633         17.9471         17.9368         17.9552         62.93           1132.04         753.28          18453.8         0.00250859      0.0106398       0.00867917      0.0429579       0.000325101     0.000592841     0.000483874     0.0023925       5904.53         1775.6          2665.36         109.022         
29              0               7.71227         17.9272         17.9294         18.0067         62.6181         984.683         756.723         18531.1         0.00250236      0.00992312      0.00869898      0.0430477       0.000324465     0.000553523     0.000485179     0.00239065      5927.7          2036.81         2651.04         109.192         
30              0               7.70834         17.9167         17.9158         17.9741         62.3107         975.87          753.614         18497           0.00249621      0.00987861      0.00868109      0.0430082       0.000323833     0.000551363     0.00048455      0.00239279      5950.87         2052.8          2657.93         108.997         
31              0               7.70413         17.9193         17.8944         17.8458         62.0063         3196.7          738.061         18357.7         0.00249011      0.0178793       0.00859105      0.0428459       0.000323217     0.000997772     0.000480096     0.0024009       5973.55         626.843         2707.48         108.262         
32              0               7.69962         17.8769         17.8847         17.9045         61.7019         830.268         737.161         18405.3         0.00248399      0.0091119       0.00858581      0.0429014       0.000322611     0.000509704     0.000480065     0.00239613      5996.01         2402.07         2707.83         108.693         
33              0               7.69529         17.8744         17.8789         17.8244         61.4049         884.677         743.747         18334.5         0.002478        0.00940573      0.00862408      0.0428188       0.000322015     0.000526212     0.00048236      0.00240226      6018.23         2253.72         2682.13         108.139         
34              0               7.6909          17.8776         17.867          17.901          61.1067         1729.88         743.095         18403.8         0.00247198      0.0131525       0.00862029      0.0428996       0.000321416     0.000735698     0.000482469     0.00239649      6040.7          1152.98         2680.91         108.66          
35              0               7.68602         17.8529         17.848          17.8174         60.8137         909.694         735.315         18323.7         0.00246604      0.00953779      0.00857505      0.0428062       0.000320848     0.000534245     0.00048045      0.0024025       6062.1          2186.46         2703.49         108.118         
36              0               7.68098         17.84           17.8326         17.7739         60.5272         1034.32         729.665         18289.4         0.00246023      0.0101701       0.00854205      0.0427661       0.000320302     0.000570074     0.000479013     0.00240612      6082.8          1920.25         2719.73         107.792         
37              0               7.67574         17.8154         17.8145         17.8024         60.2381         876.756         727.785         18296.1         0.00245435      0.00936352      0.00853103      0.0427739       0.000319754     0.000525586     0.000478882     0.0024027       6103.66         2259.09         2721.23         108.099         
38              0               7.67054         17.8075         17.804          17.7795         59.9491         883.561         721.853         18276.6         0.00244845      0.00939979      0.00849619      0.0427511       0.000319202     0.000527856     0.000477206     0.00240452      6124.79         2239.7          2740.37         107.936         
39              0               7.66487         17.7927         17.7905         17.7344         59.6628         922.389         736.236         18208.3         0.0024426       0.00960411      0.00858042      0.0426712       0.000318674     0.000539779     0.000482304     0.00240612      6145.07         2141.86         2682.75         107.792         
