Monte Carlo	Total particles: 90656993	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 1	Runtime: 2304.04
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               7.77076         18.1062         18.1028         18.1098         72.4305         1837.08         1120.62         18785.4         0.00269129      0.0135539       0.0105859       0.0433421       0.000346336     0.000748576     0.000584767     0.00239329      3618.39         774.53          1269.24         75.7738         
1               0               7.77093         18.1047         18.1039         18.0064         72.0011         1456.64         1017.33         18616           0.0026833       0.0120691       0.0100863       0.0431463       0.0003453       0.000666629     0.000557134     0.00239616      3640.13         976.655         1398.27         75.5925         
2               0               7.77086         18.1022         18.1053         18.0798         71.5888         1247.98         967.419         18685.3         0.00267561      0.0111713       0.00983574      0.0432265       0.000344313     0.000617126     0.000543252     0.00239087      3661.03         1139.63         1470.64         75.9274         
3               0               7.77052         18.1063         18.1102         18.068          71.1707         1184.85         938.451         18645.1         0.00266778      0.0108851       0.00968737      0.0431799       0.000343321     0.000601176     0.000534914     0.00238986      3682.22         1200.9          1516.85         75.9914         
4               0               7.77018         18.1141         18.1124         18.0834         70.7833         1462.31         917.732         18614.9         0.00266051      0.0120926       0.00957983      0.043145        0.0003424       0.000667578     0.000528909     0.00238589      3702.04         973.881         1551.49         76.2444         
5               0               7.76999         18.1255         18.1086         18.0271         70.3917         1269.02         899.838         18563.6         0.00265314      0.0112651       0.00948598      0.0430855       0.00034146      0.000621506     0.000523839     0.00239004      3722.46         1123.62         1581.66         75.98           
6               0               7.76897         18.1004         18.1083         18.087          70.0004         1129.41         900.995         18633.4         0.00264576      0.0106274       0.00949208      0.0431664       0.000340555     0.000587137     0.000524183     0.0023866       3742.28         1259.02         1579.59         76.1995         
7               0               7.76812         18.1064         18.0941         17.9858         69.613          1450.8          869.156         18493.7         0.00263843      0.0120449       0.00932285      0.0430043       0.000339648     0.00066523      0.000515242     0.00239102      3762.29         980.769         1634.89         75.9179         
8               0               7.7667          18.0951         18.0971         18.0889         69.2362         1094.56         871.211         18600.1         0.00263128      0.0104621       0.00933387      0.0431278       0.00033879      0.000578175     0.000515765     0.00238421      3781.38         1298.35         1631.57         76.352          
9               0               7.7654          18.0975         18.092          18.1047         68.8621         1148.82         845.496         18652.4         0.00262416      0.0107183       0.00919509      0.0431884       0.00033793      0.000592255     0.000508241     0.00238548      3800.65         1237.35         1680.24         76.2711         
