Monte Carlo	Total particles: 107449665	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 1	Runtime: 2180.73
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
23              0               7.72911         17.9841         17.9873         18.0384         64.045          997.51          777.453         18485           0.00253071      0.00998754      0.00881733      0.0429942       0.000327426     0.000555354     0.000490198     0.00238348      4277.31         1486.82         1908.33         80.719          
24              0               7.72631         17.9798         17.9771         18.0152         63.7361         1015.93         772.867         18482.4         0.0025246       0.0100793       0.00879128      0.0429911       0.000326754     0.000560594     0.000489026     0.00238638      4294.93         1459.15         1917.49         80.5224         
25              0               7.72264         17.9761         17.9605         17.9601         63.4115         1138.17         759.819         18402.9         0.00251816      0.0106685       0.00871676      0.0428986       0.000326076     0.000593484     0.000485329     0.00238855      4312.81         1301.91         1946.81         80.3762         
26              0               7.719           17.9545         17.9511         17.9231         63.0963         908.49          763.725         18388.5         0.0025119       0.00953147      0.00873913      0.0428818       0.000325417     0.000530869     0.000486829     0.00239254      4330.28         1627.13         1934.84         80.1083         
27              0               7.71537         17.9379         17.9397         17.9102         62.7804         918.34          755.777         18330.9         0.0025056       0.009583        0.00869354      0.0428146       0.000324755     0.000534232     0.000484597     0.00239052      4347.97         1606.71         1952.7          80.244          
28              0               7.7121          17.9393         17.9342         17.9669         62.4807         1198.41         753.725         18383.9         0.00249961      0.0109472       0.00868173      0.0428765       0.000324116     0.000610238     0.000484087     0.00238642      4365.12         1231.4          1956.82         80.5203         
29              0               7.7084          17.936          17.9193         17.962          62.1793         1079.74         750.433         18407.8         0.00249358      0.0103911       0.00866275      0.0429043       0.000323488     0.000579342     0.000483431     0.00238862      4382.08         1366.24         1962.13         80.3718         
30              0               7.70413         17.9075         17.9047         17.9539         61.8767         995.393         743.262         18393.2         0.0024875       0.00997694      0.00862127      0.0428873       0.000322879     0.000557138     0.000481508     0.00238875      4398.62         1477.31         1977.83         80.3629         
31              0               7.6999          17.9046         17.8948         17.8781         61.5756         1081.88         747.027         18317.8         0.00248144      0.0104014       0.00864307      0.0427994       0.00032227      0.000580933     0.000482994     0.00239396      4415.28         1358.77         1965.69         80.0135         
32              0               7.69565         17.8898         17.8851         17.8933         61.2749         986.587         747.054         18322.3         0.00247538      0.00993271      0.00864323      0.0428046       0.000321659     0.000555215     0.000483265     0.00239221      4432.05         1487.56         1963.48         80.1308         
33              0               7.69081         17.8751         17.8665         17.8495         60.976          999.07          741.24          18289.1         0.00246933      0.00999535      0.00860953      0.0427658       0.000321075     0.000559176     0.000481882     0.00239591      4448.19         1466.56         1974.77         79.8836         
34              0               7.68598         17.8566         17.8497         17.8778         60.6782         929.765         738.727         18301           0.00246329      0.00964243      0.00859492      0.0427797       0.000320492     0.000539992     0.000481515     0.00239289      4464.4          1572.62         1977.78         80.0852         
35              0               7.68149         17.8296         17.831          17.8677         60.3844         861.033         722.328         18297.3         0.00245732      0.00927919      0.00849899      0.0427753       0.000319902     0.000520437     0.00047664      0.002394        4480.87         1693.02         2018.44         80.0106         
36              0               7.67637         17.8309         17.8172         17.843          60.094          918.047         728.272         18290.2         0.00245141      0.00958148      0.00853388      0.0427671       0.000319345     0.000537353     0.000478969     0.00239685      4496.54         1588.1          1998.86         79.8206         
37              0               7.67096         17.8038         17.7942         17.7716         59.7968         926.883         714.648         18183.5         0.00244534      0.00962748      0.00845368      0.0426421       0.000318779     0.000540754     0.000475082     0.00239945      4512.51         1568.19         2031.71         79.6478         
38              0               7.66555         17.789          17.7828         17.7669         59.5084         1165.88         725.67          18194.2         0.00243943      0.0107976       0.00851863      0.0426546       0.000318234     0.000606982     0.000479038     0.00240079      4527.99         1244.65         1998.28         79.5591         
39              0               7.66017         17.7758         17.7723         17.7854         59.2288         982.071         721.655         18186.9         0.0024337       0.00990995      0.00849503      0.0426462       0.000317708     0.000557498     0.000477992     0.00239782      4542.98         1475.4          2007.04         79.7562         
40              0               7.6546          17.7616         17.7596         17.7683         58.9508         941.392         725.534         18181.1         0.00242798      0.00970254      0.00851783      0.0426393       0.000317192     0.000546265     0.000479619     0.00239974      4557.77         1536.7          1993.45         79.6284         
41              0               7.64891         17.7598         17.7382         17.7493         58.6719         1240.59         723.113         18166.4         0.00242223      0.0111382       0.00850361      0.0426221       0.000316676     0.000627157     0.000479396     0.00240134      4572.64         1165.85         1995.3          79.5224         
42              0               7.64301         17.7297         17.7181         17.7494         58.3858         890.646         704.233         18168.2         0.00241631      0.0094374       0.00839186      0.0426241       0.000316147     0.000532294     0.000473633     0.00240144      4587.95         1618.43         2044.16         79.5157         
43              0               7.63722         17.7169         17.7046         17.7065         58.1152         1095.83         715.101         18133.4         0.00241071      0.0104682       0.00845637      0.0425833       0.000315653     0.000590858     0.000477637     0.00240495      4602.34         1313.5          2010.02         79.284          
44              0               7.63069         17.6895         17.6762         17.6563         57.8337         1133.47         700.94          18071           0.00240486      0.0106465       0.00837222      0.04251         0.000315157     0.000601851     0.000473644     0.00240764      4616.83         1265.96         2044.06         79.1072         
45              0               7.62451         17.6711         17.6573         17.7157         57.562          1063.67         711.167         18119.6         0.00239921      0.0103134       0.00843307      0.0425671       0.000314671     0.000583632     0.000477596     0.00240279      4631.11         1346.23         2010.37         79.4265         
46              0               7.61797         17.6461         17.6366         17.6156         57.2864         1017.56         697.34          18013.3         0.00239346      0.0100874       0.00835069      0.0424421       0.000314186     0.000571651     0.000473487     0.00240935      4645.4          1403.25         2045.42         78.9944         
47              0               7.61162         17.6373         17.6163         17.65           57.0139         1031.73         694.488         18055.5         0.00238776      0.0101574       0.00833359      0.0424918       0.000313699     0.000575905     0.000473061     0.00240746      4659.84         1382.6          2049.1          79.1185         
48              0               7.6047          17.5995         17.599          17.5514         56.737          844.548         691.132         17984.8         0.00238195      0.00918993      0.00831343      0.0424085       0.000313221     0.00052217      0.00047238      0.00241625      4674.07         1681.8          2055.01         78.5441         
49              0               7.59808         17.5861         17.5748         17.5469         56.4707         966.803         686.61          17954.7         0.00237636      0.00983261      0.00828619      0.042373        0.000312757     0.000559114     0.000471482     0.00241484      4687.94         1466.89         2062.84         78.6357         
50              0               7.59124         17.5633         17.554          17.6015         56.2171         909.136         688.366         18019.1         0.00237102      0.00953486      0.00829678      0.042449        0.000312336     0.000542884     0.000472644     0.00241167      4700.61         1555.9          2052.71         78.8429         
51              0               7.58375         17.5489         17.5302         17.5863         55.9512         1202.74         693.411         18013.8         0.0023654       0.010967        0.00832713      0.0424427       0.000311904     0.000624938     0.000475016     0.0024134       4713.63         1174.15         2032.27         78.7298         
52              0               7.57611         17.5096         17.5057         17.5527         55.6971         978.001         686.97          17951.6         0.00236002      0.00988939      0.00828837      0.0423693       0.000311509     0.000564798     0.000473466     0.00241383      4725.6          1437.51         2045.6          78.7015         
53              0               7.56872         17.4992         17.4916         17.5353         55.4458         943.843         693.242         17946.9         0.00235469      0.00971516      0.00832612      0.0423638       0.000311109     0.000555177     0.000476006     0.00241591      4737.76         1487.77         2023.82         78.5661         
54              0               7.56121         17.4703         17.4677         17.4248         55.1933         847.588         692.538         17779.6         0.00234933      0.00920646      0.00832189      0.0421659       0.000310708     0.000526976     0.000476416     0.00241988      4749.99         1651.26         2020.34         78.3086         
55              0               7.55332         17.4548         17.4429         17.4917         54.9389         918.612         686.71          17915.4         0.0023439       0.00958442      0.00828679      0.0423266       0.000310314     0.000549099     0.000475082     0.00241981      4762.04         1520.88         2031.7          78.3133         
56              0               7.54689         17.4416         17.4262         17.3227         54.7158         1279.24         692.286         17719.4         0.00233914      0.0113103       0.00832037      0.0420944       0.000309947     0.00064847      0.000477463     0.00243001      4773.33         1090.48         2011.49         77.6569         
57              0               7.5816          17.479          17.4674         17.345          54.5345         859.181         683.427         17756.2         0.00233526      0.0092692       0.00826696      0.0421381       0.000308017     0.000530304     0.000473281     0.0024294       4833.34         1630.6          2047.2          77.696          
58              0               7.52976         17.3782         17.3647         17.3969         53.3783         918.7           669.578         17736.7         0.00231037      0.00958488      0.00818277      0.042115        0.000306832     0.000551547     0.000471232     0.00242083      4870.74         1507.41         2065.04         78.2469         
59              0               7.52143         17.3526         17.3336         17.3274         53.1246         1085.41         668.109         17634.6         0.00230488      0.0104183       0.00817379      0.0419936       0.000306441     0.000600388     0.000471559     0.00242354      4883.18         1272.14         2062.18         78.0723         
60              0               7.51276         17.321          17.3123         17.3869         52.8856         911.37          670.482         17689.9         0.00229969      0.00954657      0.0081883       0.0420594       0.000306104     0.000551154     0.000472976     0.00241903      4893.94         1509.56         2049.84         78.3635         
61              0               7.50434         17.2992         17.2816         17.2592         52.6346         892.819         665.869         17568.6         0.00229422      0.00944891      0.00816008      0.041915        0.000305719     0.000546205     0.000472182     0.00242855      4906.27         1537.04         2056.73         77.7503         
62              0               7.49549         17.2776         17.2567         17.2874         52.3956         1357.73         670.383         17590.3         0.00228901      0.0116522       0.00818769      0.0419408       0.000305385     0.000674407     0.000474463     0.0024261       4917.02         1008.22         2037            77.9078         
63              0               7.48635         17.2533         17.2263         17.2868         52.1502         1279.84         667.75          17602.3         0.00228364      0.011313        0.00817159      0.0419551       0.000305041     0.0006557       0.000474366     0.00242701      4928.12         1066.56         2037.84         77.8495         
64              0               7.47689         17.2149         17.192          17.158          51.9084         1493.79         648.271         17463.5         0.00227834      0.0122221       0.00805153      0.0417893       0.000304718     0.000709971     0.000468331     0.00243556      4938.58         909.737         2090.7          77.3037         
65              0               7.46772         17.1745         17.1692         17.0875         51.6713         800.156         662.23          17383.2         0.00227313      0.00894514      0.00813775      0.0416932       0.000304394     0.000520839     0.000473973     0.00243998      4949.07         1690.4          2041.22         77.0237         
66              0               7.4586          17.1639         17.1349         17.1775         51.4409         1507.75         646.314         17470.6         0.00226806      0.012279        0.00803937      0.0417979       0.000304087     0.0007154       0.000469181     0.0024333       4959.1          895.982         2083.13         77.4474         
67              0               7.44911         17.1129         17.1041         17.1218         51.212          766.222         647.651         17409.9         0.00226301      0.00875341      0.00804768      0.0417252       0.000303796     0.000511511     0.000470513     0.00243697      4968.6          1752.62         2071.36         77.2143         
68              0               7.43908         17.0816         17.07           17.0607         50.9716         846.625         650.725         17356.6         0.00225769      0.00920122      0.00806675      0.0416612       0.00030349      0.000538664     0.000472569     0.00244194      4978.6          1580.38         2053.36         76.8999         
69              0               7.42925         17.0487         17.0421         17.0281         50.7396         833.134         654.609         17335.9         0.00225254      0.00912762      0.00809079      0.0416364       0.000303199     0.000535385     0.000474754     0.00244516      4988.16         1599.8          2034.51         76.6975         
70              0               7.41926         17.0327         17.0084         17.0185         50.5077         1408.77         651.907         17301.7         0.00224739      0.0118692       0.00807408      0.0415953       0.000302913     0.000696845     0.000474712     0.00244412      4997.59         944.331         2034.87         76.7632         
71              0               7.40896         16.985          16.9702         16.9846         50.2777         882.676         648.629         17264.7         0.00224227      0.00939508      0.00805375      0.0415508       0.000302643     0.00055314      0.000474583     0.00244638      5006.52         1498.74         2035.98         76.6214         
72              0               7.39852         16.9537         16.9377         16.9409         50.0511         859.325         646.826         17223.5         0.00223721      0.00926998      0.00804255      0.0415012       0.000302386     0.000546783     0.000474833     0.00244977      5015.02         1533.79         2033.84         76.4096         
73              0               7.38796         16.9184         16.9023         16.8433         49.823          913.065         650.685         17120.2         0.00223211      0.00955544      0.0080665       0.0413766       0.000302128     0.000564796     0.000477242     0.00245657      5023.61         1437.52         2013.35         75.9871         
74              0               7.37702         16.8906         16.8609         16.8563         49.5988         2201.35         637.721         17152           0.00222708      0.0148369       0.00798574      0.041415        0.000301894     0.000878413     0.000473625     0.00245694      5031.4          594.291         2044.22         75.9638         
75              0               7.36612         16.8312         16.8224         16.7219         49.3756         737.993         631.472         16980.3         0.00222206      0.00859065      0.00794652      0.0412071       0.00030166      0.000510399     0.000472377     0.00246426      5039.2          1760.26         2055.04         75.5133         
76              0               7.355           16.8226         16.7918         16.7359         49.1537         2919            633.828         16986.2         0.00221706      0.0170851       0.00796133      0.0412144       0.000301436     0.0010156       0.000474119     0.00246263      5046.69         444.58          2039.96         75.6135         
77              0               7.3439          16.773          16.7541         16.7944         48.9324         800.202         639.01          17051.4         0.00221207      0.0089454       0.00799381      0.0412933       0.000301212     0.000533323     0.000477127     0.00245876      5054.22         1612.19         2014.32         75.8516         
78              0               7.33222         16.7233         16.7044         16.6842         48.7113         947.47          622.947         16948.1         0.00220706      0.00973381      0.0078927       0.041168        0.000301009     0.000582052     0.000472493     0.00246749      5061.03         1353.55         2054.03         75.316          
79              0               7.32085         16.6871         16.6636         16.6139         48.4965         1079.82         626.121         16893.4         0.00220219      0.0103914       0.00791278      0.0411015       0.000300811     0.000622722     0.000474855     0.00247393      5067.69         1182.52         2033.64         74.9245         
80              0               7.30926         16.6414         16.6283         16.5843         48.2869         867.961         629.186         16871.9         0.00219743      0.00931644      0.00793213      0.0410755       0.000300636     0.000559835     0.000477027     0.00247677      5073.59         1463.11         2015.17         74.7526         
81              0               7.29728         16.6183         16.5843         16.6393         48.0772         1094.72         619.166         16902.7         0.00219265      0.0104629       0.00786871      0.0411128       0.000300475     0.000629598     0.000474469     0.00247083      5079.02         1156.83         2036.96         75.1123         
82              0               7.28499         16.5654         16.5403         16.5219         47.8646         866.156         631.973         16796.4         0.0021878       0.00930675      0.00794968      0.0409834       0.000300316     0.000561819     0.000480624     0.00248055      5084.41         1452.79         1985.12         74.5247         
83              0               7.27245         16.5122         16.491          16.4227         47.6481         754.475         621.747         16690.9         0.00218285      0.00868605      0.00788509      0.0408545       0.000300152     0.000526039     0.000478145     0.00248768      5089.95         1657.15         2005.76         74.0981         
84              0               7.25999         16.4639         16.4491         16.4362         47.4392         734.4           631.693         16697.6         0.00217806      0.00856972      0.00794791      0.0408627       0.000300008     0.000520516     0.000483182     0.00248614      5094.84         1692.5          1964.16         74.1899         
85              0               7.24728         16.4233         16.3889         16.3598         47.2308         919.631         600.791         16604.5         0.00217326      0.00958974      0.00775107      0.0407487       0.000299873     0.000583912     0.000472947     0.00249078      5099.43         1344.94         2050.08         73.9137         
86              0               7.23441         16.3601         16.3399         16.2961         47.0294         789.571         600.51          16552.3         0.00216863      0.00888578      0.00774926      0.0406846       0.000299765     0.000543138     0.000474254     0.00249659      5103.1          1554.45         2038.8          73.5706         
87              0               7.22121         16.3068         16.2939         16.3414         46.8208         724.214         606.501         16604.9         0.00216381      0.00851008      0.00778782      0.0407491       0.000299647     0.000521873     0.000477958     0.00249361      5107.15         1683.71         2007.33         73.7462         
88              0               7.20771         16.2629         16.2454         16.2909         46.6118         777.919         605.259         16554.8         0.00215898      0.00881997      0.00777984      0.0406876       0.000299537     0.000542336     0.000478896     0.00249757      5110.88         1559.05         1999.47         73.5127         
89              0               7.19395         16.2208         16.1902         16.2235         46.4025         1196.69         593.733         16478.2         0.00215412      0.0109393       0.00770541      0.0405933       0.000299435     0.000674402     0.000475931     0.00250213      5114.36         1008.23         2024.46         73.2448         
90              0               7.1804          16.1639         16.1337         16.1588         46.1995         794.655         585.935         16433.9         0.00214941      0.00891434      0.00765464      0.0405388       0.000299344     0.000551498     0.000474451     0.00250877      5117.49         1507.68         2037.11         72.8576         
91              0               7.16631         16.1164         16.0804         16.0686         45.991          1909.51         590.586         16306.9         0.00214455      0.0138185       0.00768496      0.0403818       0.000299255     0.000857418     0.000477909     0.00251309      5120.53         623.752         2007.74         72.6072         
92              0               7.1524          16.0634         16.0233         16.1201         45.7874         1542.33         587.698         16378.3         0.0021398       0.012419        0.00766615      0.0404702       0.000299172     0.000773128     0.000478438     0.00251054      5123.36         767.175         2003.3          72.755          
93              0               7.13799         15.9885         15.9588         16.0264         45.5847         743.576         577.844         16283.6         0.00213506      0.00862309      0.0076016       0.0403529       0.000299112     0.000539329     0.000476327     0.0025179       5125.42         1576.48         2021.09         72.3301         
94              0               7.12324         15.9358         15.9093         15.87           45.3883         856.304         603.497         16118.9         0.00213045      0.00925367      0.0077685       0.0401483       0.000299085     0.000580686     0.0004883       0.00252982      5126.36         1359.92         1923.2          71.6501         
95              0               7.10857         15.8759         15.8319         15.8565         45.192          1605.97         581.448         16105.8         0.00212584      0.0126727       0.00762528      0.040132        0.000299053     0.000798235     0.000481639     0.00253095      5127.44         719.673         1976.76         71.5864         
96              0               7.09358         15.7822         15.7572         15.7882         44.9947         678.174         569.507         16008.3         0.0021212       0.00823513      0.00754657      0.0400104       0.00029903      0.000521798     0.000478929     0.0025342       5128.22         1684.19         1999.19         71.4028         
97              0               7.0783          15.7296         15.6882         15.6778         44.8089         1230.56         573.335         15926.9         0.00211681      0.0110931       0.00757189      0.0399086       0.000299056     0.000705235     0.000482648     0.00254555      5127.33         921.996         1968.5          70.7673         
98              0               7.06298         15.6424         15.604          15.6229         44.619          855.786         562.016         15830.5         0.00211232      0.00925087      0.00749677      0.0397875       0.00029907      0.000591396     0.000480438     0.00254675      5126.88         1311.11         1986.65         70.7009         
99              0               7.04695         15.5656         15.5062         15.4983         44.4193         777.091         536.98          15724.4         0.00210759      0.00881528      0.00732789      0.039654        0.000299078     0.000566332     0.000472578     0.0025586       5126.59         1429.73         2053.29         70.0474         
100             0               7.03043         15.4401         13.1525         13.1509         44.2273         616.845         198.353         297.331         0.00210303      0.00785395      0.00445369      0.00545281      0.000299132     0.000508671     0.000338619     0.000414633     5124.72         1772.24         3999.21         2667.29         
101             0               5.78187         11.5813         10.492          10.4903         34.5581         418.779         153.388         237.285         0.00185898      0.00647131      0.00391648      0.00487119      0.000321519     0.000558771     0.000373282     0.000464352     4435.92         1468.69         3290.96         2126.68         
102             0               4.86279         9.5191          8.71845         8.7171          28.3321         305.653         125.816         196.231         0.00168321      0.00552859      0.00354706      0.00442979      0.000346141     0.000580789     0.000406845     0.000508173     3827.28         1359.44         2770.38         1775.72         
103             0               4.12365         7.98032         7.34616         7.34651         23.8332         251.243         105.567         164.566         0.0015438       0.00501241      0.0032491       0.00405667      0.000374377     0.000628097     0.000442286     0.00055219      3271.74         1162.37         2344.18         1503.9          
104             0               3.51137         6.75534         6.23484         6.23193         20.315          257.623         89.3706         138.624         0.00142531      0.00507565      0.00298949      0.00372322      0.000405912     0.000751354     0.000479482     0.000597443     2783.13         812.284         1994.59         1284.71         
105             0               2.99848         5.74824         5.31126         5.31138         17.3862         269.207         75.5708         116.76          0.00131857      0.00518852      0.00274901      0.00341701      0.000439744     0.000902627     0.000517583     0.000643338     2371.36         562.834         1711.74         1107.95         
106             0               2.56152         4.89769         4.53212         4.52845         14.8358         152.544         63.5827         97.1843         0.00121802      0.00390568      0.00252156      0.00311744      0.000475507     0.000797455     0.000556376     0.000688413     2028.07         721.083         1481.36         967.608         
107             0               2.21508         4.2159          3.91722         3.86748         12.7587         173.81          52.6511         79.2813         0.00112954      0.00416906      0.00229458      0.00281569      0.000509934     0.000988889     0.000585769     0.000728044     1763.48         468.924         1336.43         865.13          
108             0               1.87285         3.57082         3.3048          3.30509         10.2758         157.22          39.9691         53.5235         0.0010137       0.0039651       0.00199923      0.00231352      0.000541259     0.00111042      0.000604947     0.000699986     1565.26         371.899         1253.03         935.878         
109             0               1.60324         3.05183         2.82924         2.82743         8.34678         60.6076         32.1466         43.5384         0.000913607     0.00246186      0.00179295      0.00208659      0.000569849     0.000806684     0.00063372      0.000737979     1412.14         704.677         1141.83         841.995         
110             0               1.37302         2.6145          2.42098         2.41978         6.81006         49.9901         26.1699         35.6536         0.000825231     0.00223585      0.00161771      0.00188822      0.000601032     0.000855171     0.000668205     0.000780326     1269.41         627.035         1027.02         753.087         
111             0               1.17885         2.24116         2.07832         2.07063         5.57864         42.5637         21.3175         28.9919         0.000746903     0.0020631       0.00146005      0.0017027       0.000633584     0.00092055      0.000702516     0.00082231      1142.32         541.131         929.147         678.15          
112             0               1.01962         1.93332         1.80006         1.77328         4.58503         35.495          17.2253         23.0971         0.000677129     0.00188401      0.00131245      0.00151977      0.000664099     0.000974496     0.000729117     0.000857042     1039.76         482.878         862.588         624.3           
113             0               0.862087        1.64045         1.51913         1.51909         3.5631          25.326          12.872          15.9582         0.000596917     0.00159141      0.00113455      0.00126326      0.000692409     0.000970106     0.000746841     0.000831588     956.471         487.258         822.13          663.102         
114             0               0.738892        1.40633         1.30182         1.30221         2.8064          19.0042         10.0798         12.6678         0.000529754     0.00137856      0.00100398      0.00112551      0.000716958     0.000980254     0.000771215     0.000864311     892.092         477.222         770.985         613.842         
115             0               0.633455        1.20458         1.116           1.11466         2.21906         15.8734         7.97653         10.0771         0.000471069     0.0012599       0.000893114     0.00100385      0.000743649     0.00104592      0.000800279     0.000900584     829.203         419.176         716.002         565.39          
116             0               0.549737        1.04179         0.970444        0.955932        1.78887         11.8475         6.38972         7.95982         0.00042295      0.00108846      0.000799357     0.000892178     0.000769368     0.0010448       0.000823702     0.000933307     774.691         420.083         675.86          526.439         
117             0               0.465176        0.884178        0.819116        0.819173        1.36183         7.79264         4.72165         5.56539         0.00036903      0.000882759     0.000687143     0.000746016     0.000793311     0.000998396     0.000838884     0.000910694     728.635         460.036         651.619         552.907         
118             0               0.398719        0.758263        0.702893        0.703057        1.05457         6.03148         3.66083         4.37135         0.000324742     0.000776626     0.000605048     0.000661162     0.000814464     0.00102422      0.000860797     0.000940409     691.279         437.132         618.865         518.517         
119             0               0.341827        0.649955        0.602133        0.601894        0.820047        5.06317         2.85519         3.44749         0.000286365     0.00071156      0.00053434      0.000587153     0.000837746     0.00109478      0.000887411     0.00097551      653.389         382.597         582.301         481.874         
120             0               0.293349        0.557255        0.516931        0.516127        0.639842        3.85172         2.23772         2.72124         0.000252951     0.000620623     0.000473045     0.000521655     0.000862286     0.00111371      0.000915103     0.00101071      616.729         369.7           547.593         448.894         
121             0               0.254137        0.481497        0.448326        0.442044        0.50673         3.06767         1.76199         2.11129         0.000225107     0.000553865     0.00041976      0.000459488     0.000885769     0.0011503       0.000936284     0.00103946      584.462         346.558         523.097         424.405         
122             0               0.215134        0.409098        0.378955        0.37891         0.381896        3.5442          1.30001         1.49397         0.000195422     0.000595332     0.000360557     0.000386519     0.00090837      0.00145523      0.00095145      0.00102008      555.74          216.538         506.553         440.685         
