Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 1	Init with adjoint: 0	Runtime: 1628.92
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               7.77456         18.1192         18.1138         18.0874         72.9494         1703.89         1133.02         18840.4         0.00270091      0.0130533       0.0106443       0.0434056       0.000347404     0.000720413     0.000587635     0.00239977      5086.63         1182.87         1777.81         106.601         
1               0               7.77425         18.1049         18.1118         18.1543         72.5214         1337.35         1030.34         18839.3         0.00269298      0.0115644       0.0101506       0.0434043       0.000346397     0.000638745     0.000560439     0.00239085      5116.23         1504.68         1954.53         107.397         
2               0               7.77376         18.1052         18.1099         18.1358         72.0957         1189.25         974.379         18797.5         0.00268506      0.0109053       0.00987106      0.0433561       0.000345401     0.000602328     0.000545065     0.00239063      5145.79         1692.13         2066.35         107.417         
3               0               7.7732          18.102          18.1084         18.1763         71.6844         1164.27         940.887         18845.1         0.00267739      0.0107901       0.00969994      0.043411        0.000344439     0.000596074     0.000535659     0.00238833      5174.57         1727.82         2139.55         107.625         
4               0               7.77264         18.1151         18.1121         18.0448         71.2797         1227.74         933.389         18644.2         0.00266983      0.0110803       0.0096612       0.0431789       0.00034349      0.000611663     0.000533411     0.00239287      5203.21         1640.87         2157.62         107.216         
5               0               7.77214         18.1004         18.1005         18.0955         70.8893         1110.28         900.361         18714.9         0.0026625       0.010537        0.00948873      0.0432607       0.00034257      0.00058214      0.000524224     0.00239069      5231.19         1811.53         2233.91         107.412         
6               0               7.7712          18.0961         18.1041         18.0434         70.5005         1073.44         890.988         18662.6         0.00265519      0.0103607       0.00943922      0.0432003       0.000341671     0.000572538     0.000521385     0.00239424      5258.76         1872.8          2258.3          107.094         
7               0               7.77019         18.1044         18.1023         18.1251         70.1179         1134.56         876.126         18721           0.00264798      0.0106516       0.00936016      0.0432677       0.000340787     0.000588342     0.00051707      0.00238717      5286.09         1773.54         2296.15         107.729         
8               0               7.76917         18.0984         18.0892         18.1768         69.7381         1168.25         853.122         18795.8         0.0026408       0.0108086       0.00923646      0.0433541       0.000339907     0.00059721      0.000510605     0.00238514      5313.47         1721.25         2354.67         107.913         
9               0               7.76791         18.0872         18.0897         18.1864         69.3645         1056.74         858.87          18777.9         0.00263371      0.0102798       0.00926752      0.0433334       0.000339051     0.000568346     0.00051231      0.00238274      5340.36         1900.53         2339.02         108.13          
10              0               7.76646         18.0993         18.0896         18.0877         68.9927         1552.23         858.791         18679.1         0.00262665      0.0124588       0.0092671       0.0432194       0.000338204     0.000688362     0.000512289     0.00238943      5367.14         1295.58         2339.21         107.525         
11              0               7.76519         18.0815         18.0858         18.0563         68.6288         1025.31         847.069         18652.1         0.00261971      0.0101257       0.00920364      0.043188        0.000337366     0.000560004     0.000508888     0.00239185      5393.83         1957.57         2370.59         107.307         
12              0               7.76352         18.0872         18.0834         18.1023         68.2657         2892.98         838.728         18692.4         0.00261277      0.0170088       0.00915821      0.0432347       0.000336545     0.000940374     0.000506443     0.00238835      5420.18         694.222         2393.53         107.622         
13              0               7.76218         18.0811         18.0799         18.0544         67.9133         1071.4          830.333         18609.8         0.00260602      0.0103509       0.00911226      0.0431391       0.000335733     0.00057247      0.000503999     0.0023894       5446.44         1873.24         2416.79         107.528         
14              0               7.76019         18.0829         18.0692         18.0574         67.562          1405.4          817.313         18619.1         0.00259927      0.011855        0.00904053      0.0431499       0.000334949     0.00065559      0.000500329     0.0023896       5471.94         1428.35         2452.39         107.51          
