Monte Carlo	Total particles: 10088672	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 1	Runtime: 990.071
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               0.0582446       0.110673        0.117468        0.117914        0.115044        2.11091         1.11567         8.03743         0.000107259     0.000459447     0.000334016     0.000896517     0.00184152      0.0041514       0.00284347      0.00760313      297.838         58.6064         124.921         17.4723         
1               0               0.0617109       0.12312         0.128775        0.129555        0.130455        1.94197         1.4514          8.84503         0.000114217     0.000440678     0.000380972     0.00094048      0.00185084      0.00357925      0.00295842      0.00725932      294.846         78.8403         115.402         19.1664         
2               0               0.0649959       0.133856        0.13747         0.137347        0.14451         3.30735         1.61643         9.29375         0.000120212     0.000575096     0.000402049     0.000964041     0.00184954      0.00429639      0.00292463      0.007019        295.262         54.7175         118.084         20.5014         
3               0               0.0681638       0.141467        0.14546         0.14484         0.15783         2.74458         1.72707         9.83195         0.00012563      0.000523888     0.00041558      0.000991562     0.00184307      0.00370325      0.00285701      0.00684592      297.339         73.649          123.74          21.5511         
4               0               0.0984107       0.197883        0.204322        0.152932        0.192031        2.66992         1.99576         10.2829         0.000138575     0.000516712     0.000446739     0.00101405      0.00140813      0.0026112       0.00218645      0.00663073      509.385         148.133         211.278         22.9727         
5               0               0.0738338       0.155447        0.158739        0.158012        0.111528        2.12639         1.27283         6.71505         0.000105607     0.000461128     0.000356767     0.000819454     0.00143033      0.00296646      0.00224751      0.00518601      493.698         114.777         199.955         37.5549         
6               0               0.0764795       0.161978        0.164951        0.164139        0.115362        2.48611         1.24309         6.7332          0.000107407     0.000498609     0.000352575     0.000820561     0.00140439      0.00307825      0.00213745      0.00499919      512.107         106.592         221.076         40.4142         
7               0               0.0790574       0.16759         0.170306        0.169819        0.119527        1.96941         1.22956         6.81583         0.000109329     0.00044378      0.000350651     0.00082558      0.0013829       0.002648        0.00205895      0.00486154      528.142         144.044         238.255         42.7352         
8               0               0.0814698       0.173324        0.175407        0.174696        0.123328        2.2824          1.22275         6.85087         0.000111053     0.000477744     0.000349679     0.0008277       0.00136312      0.00275637      0.00199353      0.00473796      543.584         132.941         254.149         44.9937         
9               0               0.0838275       0.177707        0.180202        0.180696        0.127173        1.99975         1.23661         7.02887         0.000112771     0.000447185     0.000351655     0.000838384     0.00134527      0.00251641      0.00195145      0.00463975      558.102         159.504         265.228         46.9185         
10              0               0.0860931       0.18249         0.185116        0.184266        0.130646        1.99651         1.27045         7.0374          0.000114301     0.000446823     0.000356434     0.000838892     0.00132764      0.00244848      0.00192546      0.00455263      573.024         168.477         272.436         48.7315         
11              0               0.088265        0.187981        0.189424        0.189803        0.134194        2.4037          1.28015         7.21191         0.000115842     0.000490276     0.000357791     0.00084923      0.00131243      0.00260812      0.00188884      0.00447427      586.379         148.484         283.102         50.4533         
12              0               0.0903791       0.191529        0.193632        0.19336         0.137494        2.07527         1.29904         7.2729          0.000117258     0.000455551     0.000360422     0.000852813     0.0012974       0.0023785       0.00186138      0.0044105       600.048         178.536         291.517         51.9227         
13              0               0.0923957       0.195769        0.197591        0.196818        0.140759        2.09499         1.29913         7.33559         0.000118642     0.000457711     0.000360435     0.000856481     0.00128406      0.00233802      0.00182415      0.00435164      612.577         184.773         303.537         53.3368         
14              0               0.0943116       0.199502        0.201601        0.202359        0.143626        2.29136         1.33706         7.49562         0.000119844     0.000478681     0.000365658     0.000865772     0.00127072      0.00239938      0.00181377      0.00427839      625.505         175.442         307.023         55.1789         
15              0               0.0962031       0.203137        0.205004        0.207101        0.146638        1.84213         1.3301          7.63687         0.000121094     0.000429201     0.000364705     0.000873892     0.00125873      0.00211286      0.00177902      0.00421964      637.481         226.252         319.134         56.726          
