Monte Carlo	Total particles: 10000000	Num histories: 10000000	Implicit capture: 0	Init with adjoint: 0	Runtime: 1067.74
cell/edge       group           current         surface_flux    volume_flux     collision_flux  curr_var        sur_var         vol_var         coll_var        curr_err        sur_err         vol_err         coll_err        curr_rel        sur_rel         vol_rel         coll_rel        curr_fom        sur_fom         vol_fom         coll_fom        
0               0               0.0582944       0.111294        0.118554        0.118284        0.0548962       0.778547        0.552404        3.89489         7.40919e-05     0.000279025     0.000235033     0.00062409      0.001271        0.00250708      0.00198249      0.0052762       579.755         149.003         238.294         33.6426         
1               0               0.0618089       0.124466        0.129381        0.130092        0.062144        1.90938         0.681868        4.32036         7.88314e-05     0.000436964     0.000261126     0.000657294     0.00127541      0.00351072      0.00201827      0.00505253      575.753         75.9871         229.918         36.6872         
2               0               0.0650868       0.134559        0.13819         0.139092        0.0688409       4.27046         0.781301        4.61331         8.29704e-05     0.000653488     0.000279518     0.000679214     0.00127477      0.00485651      0.00202271      0.0048832       576.331         39.7086         228.912         39.2757         
3               0               0.0681751       0.142041        0.145843        0.146049        0.0751403       1.35373         0.828017        4.84416         8.66835e-05     0.00036793      0.000287753     0.000696        0.00127148      0.00259032      0.00197303      0.00476552      579.311         139.581         240.584         41.2393         
4               0               0.071139        0.149592        0.152718        0.15282         0.0811782       1.58164         0.8883          5.07893         9.0099e-05      0.000397698     0.000298044     0.000712666     0.00126652      0.00265855      0.0019516       0.00466343      583.86          132.508         245.896         43.0647         
5               0               0.0739028       0.156191        0.158963        0.159372        0.0866842       1.72514         0.919168        5.30926         9.31043e-05     0.000415349     0.000303178     0.000728647     0.00125982      0.00265923      0.00190722      0.00457199      590.085         132.44          257.472         44.8046         
6               0               0.0765828       0.162462        0.164865        0.165168        0.0920599       6.89337         0.962001        5.4962          9.59478e-05     0.000830263     0.000310161     0.000741364     0.00125286      0.00511049      0.00188131      0.00448854      596.657         35.8597         264.613         46.486          
7               0               0.0791351       0.167574        0.170286        0.170079        0.0971207       1.71338         1.00634         5.6705          9.85499e-05     0.00041393      0.000317229     0.000753027     0.00124534      0.00247014      0.00186292      0.00442752      603.892         153.493         269.863         47.7763         
8               0               0.0815665       0.172853        0.175566        0.174873        0.102013        1.7822          1.04588         5.85425         0.000101002     0.000422162     0.0003234       0.000765131     0.00123827      0.00244232      0.00184204      0.00437535      610.8           157.01          276.015         48.9223         
9               0               0.0839511       0.177412        0.180751        0.18036         0.106734        1.45285         1.09128         6.02789         0.000103312     0.000381163     0.000330346     0.000776395     0.00123062      0.00214847      0.00182763      0.0043047       618.421         202.897         280.387         50.5415         
10              0               0.0862751       0.183373        0.185676        0.185028        0.111388        1.9862          1.11897         6.19124         0.00010554      0.000445668     0.00033451      0.000786845     0.0012233       0.00243038      0.00180158      0.00425257      625.846         158.556         288.553         51.7881         
11              0               0.0884262       0.18813         0.189939        0.190143        0.115622        2.06018         1.1439          6.35034         0.000107527     0.000453892     0.000338215     0.00079689      0.00121601      0.00241266      0.00178065      0.004191        633.367         160.895         295.376         53.3208         
12              0               0.0904836       0.191623        0.193931        0.194073        0.119585        2.04451         1.17864         6.50723         0.000109355     0.000452163     0.000343313     0.000806674     0.00120856      0.00235965      0.00177028      0.00415655      641.202         168.205         298.845         54.2085         
13              0               0.0925226       0.195975        0.197894        0.198309        0.123516        4.48903         1.19848         6.64308         0.000111138     0.000670002     0.000346191     0.000815051     0.00120119      0.00341882      0.00174937      0.00411001      649.092         80.1274         306.033         55.4432         
14              0               0.0944778       0.200291        0.201643        0.199899        0.127195        2.85956         1.22364         6.68727         0.000112781     0.000534749     0.000349805     0.000817757     0.00119373      0.00266985      0.00173478      0.00409085      657.237         131.389         311.203         55.9635         
